Nama Kabupaten,latitude,longitude
KOTA LUBUKLINGGAU,-3.2966667,102.8616667
KABUPATEN BENGKULU SELATAN,-4.3248409,103.035694
KABUPATEN REJANG LEBONG,-3.4548154,102.6675575
KABUPATEN BENGKULU UTARA,-3.4219555,102.1632718
KABUPATEN KAUR,-4.6792278,103.4511768
KABUPATEN SELUMA,-4.0622929,102.5642261
KABUPATEN MUKOMUKO,-2.5760003,101.1169805
KABUPATEN LEBONG,-3.4548154,102.6675575
KABUPATEN KEPAHIANG,-3.651431,102.578201
KABUPATEN BENGKULU TENGAH,-3.7955556,102.2591667
KOTA BENGKULU,-4.3248409,103.035694
KABUPATEN LAMPUNG BARAT,-5.1490396,104.1930918
KABUPATEN TANGGAMUS,-5.3027489,104.5655273
KABUPATEN LAMPUNG SELATAN,-5.5622614,105.5474373
KABUPATEN LAMPUNG TIMUR,-5.1134995,105.6881788
KABUPATEN LAMPUNG TENGAH,-4.8008086,105.3131185
KABUPATEN LAMPUNG UTARA,-4.8133905,104.7520939
KABUPATEN WAY KANAN,-4.4963689,104.5655273
KABUPATEN TULANGBAWANG,-4.3176576,105.5005483
KABUPATEN PESAWARAN,-5.493245,105.0791228
KABUPATEN PRINGSEWU,-5.3539884,104.9622498
KABUPATEN MESUJI,-4.0044783,105.3131185
KABUPATEN TULANG BAWANG BARAT,-4.5257,105.0791
KABUPATEN PESISIR BARAT,-5.2928,104.1234
KOTA BANDAR LAMPUNG,-5.45,105.2666667
KOTA METRO,-5.1166667,105.3
KABUPATEN BANGKA,-7.0306912,112.7450068
KABUPATEN BELITUNG,-2.8708938,107.9531836
KABUPATEN BANGKA BARAT,-2.2884782,106.0640179
KABUPATEN BANGKA TENGAH,-2.2884782,106.0640179
KABUPATEN BANGKA SELATAN,-2.2884782,106.0640179
KABUPATEN BELITUNG TIMUR,-2.8708938,107.9531836
KOTA PANGKAL PINANG,-2.129323,106.109596
KABUPATEN KARIMUN,1.05,103.3666667
KABUPATEN BINTAN,1.0619173,104.5189214
KABUPATEN NATUNA,3.9329945,108.1812242
KABUPATEN LINGGA,-3.2966667,102.8616667
KABUPATEN KEPULAUAN ANAMBAS,3.1055,105.6537
KOTA B A T A M,1.14937,104.02491
KOTA TANJUNG PINANG,0.9179205,104.446464
KABUPATEN KEPULAUAN SERIBU,-5.7985266,106.5071982
KOTA JAKARTA SELATAN,-6.332973,106.807915
KOTA JAKARTA TIMUR,-6.211544,106.845172
KOTA JAKARTA PUSAT,-6.211544,106.845172
KOTA JAKARTA BARAT,-6.211544,106.845172
KOTA JAKARTA UTARA,-6.211544,106.845172
KABUPATEN BOGOR,-6.6,106.8
KABUPATEN SUKABUMI,-6.92405,106.922203
KABUPATEN CIANJUR,-6.8172531,107.1307289
KABUPATEN BANDUNG,-6.9147444,107.6098111
KABUPATEN GARUT,-7.227906,107.908699
KABUPATEN TASIKMALAYA,-7.327954,108.214104
KABUPATEN CIAMIS,-7.3333333,108.35
KABUPATEN KUNINGAN,-6.9833333,108.4833333
KABUPATEN CIREBON,-6.715534,108.564003
KABUPATEN MAJALENGKA,-6.8531026,108.2258897
KABUPATEN SUMEDANG,0.6095949,110.0330554
KABUPATEN INDRAMAYU,-6.336315,108.325104
KABUPATEN SUBANG,-6.569361,107.752403
KABUPATEN PURWAKARTA,-6.5386806,107.4499404
KABUPATEN KARAWANG,-6.3227303,107.3375791
KABUPATEN BEKASI,-6.2333333,107
KABUPATEN BANDUNG BARAT,-6.8937121,107.4321959
KABUPATEN PANGANDARAN,-7.6151,108.4988
KOTA BOGOR,-6.6,106.8
KOTA SUKABUMI,-6.92405,106.922203
KOTA BANDUNG,-6.9147444,107.6098111
KOTA CIREBON,-6.715534,108.564003
KOTA BEKASI,-6.2333333,107
KOTA DEPOK,-6.39,106.83
KOTA CIMAHI,-6.880239,107.5355
KOTA TASIKMALAYA,-7.327954,108.214104
KOTA BANJAR,-7.3666667,108.5333333
KABUPATEN CILACAP,-7.733333,109
KABUPATEN BANYUMAS,-7.4832133,109.140438
KABUPATEN PURBALINGGA,-7.390747,109.3638
KABUPATEN BANJARNEGARA,-7.402706,109.681396
KABUPATEN KEBUMEN,-7.678682,109.656502
KABUPATEN PURWOREJO,-7.709731,110.008003
KABUPATEN WONOSOBO,-7.362109,109.899399
KABUPATEN MAGELANG,-7.481253,110.213799
KABUPATEN BOYOLALI,-7.523819,110.595901
KABUPATEN KLATEN,-7.711687,110.595497
KABUPATEN SUKOHARJO,-7.6808818,110.8195292
KABUPATEN WONOGIRI,-7.817782,110.920601
KABUPATEN KARANGANYAR,-7.5961111,110.9508333
KABUPATEN SRAGEN,-7.430229,111.021301
KABUPATEN GROBOGAN,-7.0217194,110.9625854
KABUPATEN BLORA,-6.95,111.4166667
KABUPATEN REMBANG,-6.71124,111.345299
KABUPATEN PATI,-6.751338,111.038002
KABUPATEN KUDUS,-6.804087,110.838203
KABUPATEN JEPARA,-6.5596059,110.6717
KABUPATEN DEMAK,-6.888115,110.639297
KABUPATEN SEMARANG,-6.9666667,110.4166667
KABUPATEN TEMANGGUNG,-7.316669,110.174797
KABUPATEN KENDAL,-6.919686,110.205597
KABUPATEN BATANG,-1.7083922,103.0817903
KABUPATEN PEKALONGAN,-6.882887,109.669998
KABUPATEN PEMALANG,-6.884234,109.377998
KABUPATEN TEGAL,-6.8666667,109.1333333
KABUPATEN BREBES,-6.8833333,109.05
KOTA MAGELANG,-7.481253,110.213799
KOTA SURAKARTA,-7.5666667,110.8166667
KOTA SALATIGA,-7.302328,110.4729
KOTA SEMARANG,-6.9666667,110.4166667
KOTA PEKALONGAN,-6.882887,109.669998
KOTA TEGAL,-6.8666667,109.1333333
KABUPATEN KULON PROGO,-7.8266798,110.1640846
KABUPATEN BANTUL,-7.8846111,110.3341111
KABUPATEN GUNUNG KIDUL,-8.0305091,110.6168921
KABUPATEN SLEMAN,-7.716165,110.335403
KOTA YOGYAKARTA,-7.797224,110.368797
KABUPATEN PACITAN,-8.204614,111.08769
KABUPATEN PONOROGO,-7.867827,111.466003
KABUPATEN TRENGGALEK,-8.05,111.7166667
KABUPATEN TULUNGAGUNG,-8.0666667,111.9
KABUPATEN BLITAR,-8.1014419,112.162762
KABUPATEN KEDIRI,-7.809356,112.032356
KABUPATEN MALANG,-8.0495643,112.6884549
KABUPATEN LUMAJANG,-8.137022,113.226601
KABUPATEN JEMBER,-8.172357,113.700302
KABUPATEN BANYUWANGI,-8.2186111,114.3669444
KABUPATEN BONDOWOSO,-7.917704,113.813483
KABUPATEN SITUBONDO,-7.702534,113.955605
KABUPATEN PROBOLINGGO,-7.753965,113.210675
KABUPATEN PASURUAN,-6.8623098,108.8001936
KABUPATEN SIDOARJO,-7.4530278,112.7173389
KABUPATEN MOJOKERTO,-7.488075,112.427027
KABUPATEN JOMBANG,-7.5468395,112.2264794
KABUPATEN NGANJUK,-7.602932,111.901808
KABUPATEN MADIUN,-7.627753,111.505483
KABUPATEN MAGETAN,-7.6493413,111.3381593
KABUPATEN NGAWI,-7.38993,111.46193
KABUPATEN BOJONEGORO,0.882681,124.4669566
KABUPATEN TUBAN,-8.7493146,115.1711298
KABUPATEN LAMONGAN,-7.406153,109.3946794
KABUPATEN GRESIK,-7.15665,112.6555
KABUPATEN BANGKALAN,-7.0306912,112.7450068
KABUPATEN SAMPANG,-7.5782556,109.2058436
KABUPATEN PAMEKASAN,-7.1666667,113.4666667
KABUPATEN SUMENEP,-6.9253999,113.9060624
KOTA KEDIRI,-7.809356,112.032356
KOTA BLITAR,-8.1014419,112.162762
KOTA MALANG,-8.0495643,112.6884549
KOTA PROBOLINGGO,-7.753965,113.210675
KOTA PASURUAN,-6.8623098,108.8001936
KOTA MOJOKERTO,-7.488075,112.427027
KOTA MADIUN,-7.627753,111.505483
KOTA SURABAYA,-7.289166,112.734398
KOTA BATU,-7.8671,112.5239
KABUPATEN PANDEGLANG,-6.314835,106.103897
KABUPATEN LEBAK,-6.5643956,106.2522143
KABUPATEN TANGERANG,-6.2888889,106.7180556
KABUPATEN SERANG,-6.12009,106.150299
KOTA TANGERANG,-6.2888889,106.7180556
KOTA CILEGON,-6.0169825,106.040506
KOTA SERANG,-6.12009,106.150299
KOTA TANGERANG SELATAN,-6.2888889,106.7180556
KABUPATEN JEMBRANA,-8.361852,114.6418
KABUPATEN TABANAN,-8.544516,115.119797
KABUPATEN BADUNG,-8.5819296,115.1770586
KABUPATEN GIANYAR,-8.544185,115.3255
KABUPATEN KLUNGKUNG,-8.5389222,115.4045111
KABUPATEN BANGLI,-8.454303,115.354897
KABUPATEN KARANG ASEM,-6.3996057,108.0503042
KABUPATEN BULELENG,-8.113831,115.126999
KOTA DENPASAR,-8.65629,115.222099
KABUPATEN LOMBOK BARAT,-8.6464599,116.1123078
KABUPATEN LOMBOK TENGAH,-8.694623,116.2777073
KABUPATEN LOMBOK TIMUR,-8.5134471,116.5609857
KABUPATEN SUMBAWA,-8.6529334,117.3616476
KABUPATEN DOMPU,-8.4966318,118.4747173
KABUPATEN BIMA,-8.460566,118.727402
KABUPATEN SUMBAWA BARAT,-8.9292907,116.8910342
KABUPATEN LOMBOK UTARA,-8.3739076,116.2777073
KOTA MATARAM,-8.5833333,116.1166667
KOTA BIMA,-8.460566,118.727402
KABUPATEN SUMBA BARAT,-9.6548326,119.3947135
KABUPATEN SUMBA TIMUR,-9.9802103,120.3435506
KABUPATEN KUPANG,-10.1833333,123.5833333
KABUPATEN TIMOR TENGAH SELATAN,-9.7762816,124.4198243
KABUPATEN TIMOR TENGAH UTARA,-9.4522647,124.597132
KABUPATEN BELU,-9.4125796,124.9506625
KABUPATEN ALOR,-8.2754027,124.7298765
KABUPATEN LEMBATA,-8.4719075,123.4831906
KABUPATEN FLORES TIMUR,-8.3130942,122.9663018
KABUPATEN SIKKA,-8.6766175,122.1291843
KABUPATEN ENDE,-8.854053,121.654198
KABUPATEN NGADA,-8.7430424,120.9876321
KABUPATEN MANGGARAI,-8.6796987,120.3896651
KABUPATEN ROTE NDAO,-10.7386421,123.1239049
KABUPATEN MANGGARAI BARAT,-8.6688149,120.0665236
KABUPATEN SUMBA TENGAH,-9.4879226,119.6962677
KABUPATEN SUMBA BARAT DAYA,-9.539139,119.1390642
KABUPATEN NAGEKEO,-8.6753545,121.3084088
KABUPATEN MANGGARAI TIMUR,-8.6206712,120.6199895
KABUPATEN SABU RAIJUA,-10.5541116,121.8334868
KABUPATEN MALAKA,-9.5309,124.9066
KOTA KUPANG,-10.1833333,123.5833333
KABUPATEN SAMBAS,1.361328,109.309998
KABUPATEN BENGKAYANG,0.8209729,109.477699
KABUPATEN LANDAK,0.4237287,109.7591675
KABUPATEN MEMPAWAH,0.3897,109.1404
KABUPATEN SANGGAU,0.119275,110.597298
KABUPATEN KETAPANG,-1.859098,109.971901
KABUPATEN SINTANG,0.080238,111.495499
KABUPATEN KAPUAS HULU,-0.7931004,113.9060624
KABUPATEN SEKADAU,0.015637,110.888603
KABUPATEN MELAWI,-0.7000681,111.6660725
KABUPATEN KAYONG UTARA,-0.9225877,110.0449662
KABUPATEN KUBU RAYA,-0.3533938,109.4735066
KOTA PONTIANAK,-0.022523,109.330307
KOTA SINGKAWANG,0.908795,108.984596
KABUPATEN KOTAWARINGIN BARAT,-6.1961131,106.8630174
KABUPATEN KOTAWARINGIN TIMUR,-6.1952992,106.8630737
KABUPATEN KAPUAS,-0.7931004,113.9060624
KABUPATEN BARITO SELATAN,-1.875943,114.8092691
KABUPATEN BARITO UTARA,-0.9587136,115.094045
KABUPATEN SUKAMARA,-2.6267517,111.2368084
KABUPATEN LAMANDAU,-1.9269166,111.1891151
KABUPATEN SERUYAN,-3.0123467,112.4291464
KABUPATEN KATINGAN,-0.9758379,112.8105512
KABUPATEN PULANG PISAU,-2.6849607,113.9536466
KABUPATEN GUNUNG MAS,-6.7052778,106.9913889
KABUPATEN BARITO TIMUR,-2.0123999,115.188916
KABUPATEN MURUNG RAYA,-0.1362171,114.3341432
KOTA PALANGKA RAYA,-2.21,113.92
KABUPATEN TANAH LAUT,-3.7694047,114.8092691
KABUPATEN KOTA BARU,-6.332973,106.807915
KABUPATEN BANJAR,-7.3666667,108.5333333
KABUPATEN BARITO KUALA,-3.0714738,114.6667939
KABUPATEN TAPIN,-2.9160746,115.0465991
KABUPATEN HULU SUNGAI SELATAN,-2.7662681,115.2363408
KABUPATEN HULU SUNGAI TENGAH,-2.6153162,115.5207358
KABUPATEN HULU SUNGAI UTARA,-2.4421225,115.188916
KABUPATEN TABALONG,-1.864302,115.5681084
KABUPATEN TANAH BUMBU,-3.4512244,115.5681084
KABUPATEN BALANGAN,-2.3260425,115.6154732
KOTA BANJARMASIN,-3.328499,114.589203
KOTA BANJAR BARU,-3.4666667,114.75
KABUPATEN PASER,-1.7175266,115.9467997
KABUPATEN KUTAI BARAT,0.1353881,115.094045
KABUPATEN KUTAI KARTANEGARA,-0.1336655,116.6081653
KABUPATEN KUTAI TIMUR,0.9433774,116.9852422
KABUPATEN BERAU,2.0450883,117.3616476
KABUPATEN PENAJAM PASER UTARA,-1.2917094,116.5137964
KABUPATEN MAHAKAM HULU,0.37822,115.38048
KOTA BALIKPAPAN,-1.2635389,116.8278833
KOTA SAMARINDA,-0.502183,117.153801
KOTA BONTANG,0.1333333,117.5
KABUPATEN MALINAU,3.584221,116.647797
KABUPATEN BULUNGAN,2.9042476,116.9852422
KABUPATEN TANA TIDUNG,3.551869,117.0794082
KABUPATEN NUNUKAN,4.0609227,117.666952
KOTA TARAKAN,3.3,117.6333333
KABUPATEN BOLAANG MONGONDOW,0.6870994,124.0641419
KABUPATEN MINAHASA,1,124.5833333
KABUPATEN KEPULAUAN SANGIHE,3.5303212,125.5438967
KABUPATEN KEPULAUAN TALAUD,4.092,126.768
KABUPATEN MINAHASA SELATAN,1.0946773,124.4641848
KABUPATEN MINAHASA UTARA,1.5327973,124.994751
KABUPATEN BOLAANG MONGONDOW UTARA,0.818691,123.5280072
KABUPATEN SIAU TAGULANDANG BIARO,2.345964,125.4124355
KABUPATEN MINAHASA TENGGARA,1.0278551,124.7298765
KABUPATEN BOLAANG MONGONDOW SELATAN,0.4053,123.8411
KABUPATEN BOLAANG MONGONDOW TIMUR,0.7153,124.4642
KOTA MANADO,1.4917014,124.842843
KOTA BITUNG,1.4553529,125.204697
KOTA TOMOHON,1.3234131,124.8384504
KOTA KOTAMOBAGU,0.7333333,124.3166667
KABUPATEN BANGGAI KEPULAUAN,-1.6408137,123.5504076
KABUPATEN BANGGAI,-1.6408137,123.5504076
KABUPATEN MOROWALI,-2.3003072,121.5370003
KABUPATEN POSO,-1.391922,120.766998
KABUPATEN DONGGALA,-0.4233155,119.8352303
KABUPATEN TOLI-TOLI,0.8768231,120.7579834
KABUPATEN BUOL,0.9695452,121.3541631
KABUPATEN PARIGI MOUTONG,0.5817607,120.8039474
KABUPATEN TOJO UNA-UNA,-1.098757,121.5370003
KABUPATEN SIGI,-1.3834127,120.0665236
KABUPATEN BANGGAI LAUT,-1.6735,123.5504
KABUPATEN MOROWALI UTARA,-1.6312,121.3542
KOTA PALU,-0.898583,119.850601
KABUPATEN KEPULAUAN SELAYAR,-6.287,120.5049
KABUPATEN BULUKUMBA,-5.4329368,120.2051096
KABUPATEN BANTAENG,-5.5169316,120.0202964
KABUPATEN JENEPONTO,-5.554579,119.6730939
KABUPATEN TAKALAR,-5.4162493,119.4875668
KABUPATEN GOWA,-5.3102888,119.742604
KABUPATEN SINJAI,-5.2171961,120.112735
KABUPATEN MAROS,-4.94695,119.578903
KABUPATEN PANGKAJENE DAN KEPULAUAN,-4.805035,119.5571677
KABUPATEN BARRU,-4.4172651,119.6730939
KABUPATEN BONE,-2.083333,120.216667
KABUPATEN SOPPENG,-4.3518541,119.9277947
KABUPATEN WAJO,-4.022229,120.0665236
KABUPATEN SIDENRENG RAPPANG,-3.7738981,120.0202964
KABUPATEN PINRANG,-3.793071,119.6408
KABUPATEN ENREKANG,-3.563128,119.7612
KABUPATEN LUWU,-3.3052214,120.2512728
KABUPATEN TANA TORAJA,-3.0753003,119.742604
KABUPATEN LUWU UTARA,-2.2690446,119.9740534
KABUPATEN LUWU TIMUR,-2.5825518,121.1710389
KABUPATEN TORAJA UTARA,-2.8621942,119.8352303
KOTA MAKASSAR,-5.1333333,119.4166667
KOTA PAREPARE,-4.0096,119.6291
KOTA PALOPO,-3,120.2
KABUPATEN BUTON,-5.3096355,122.9888319
KABUPATEN MUNA,-4.901629,122.6277455
KABUPATEN KONAWE,-3.9380432,122.0837445
KABUPATEN KOLAKA,-4.049665,121.593803
